,1,2,3,4,5,6,7,8,9
91,8:30p,Dallas Mavericks,91,Milwaukee Bucks,83,Box Score,,"16,448",
92,10:00p,Portland Trail Blazers,96,Sacramento Kings,85,Box Score,,"15,482",
93,7:00p,Washington Wizards,105,Oklahoma City Thunder,106,Box Score,OT,"18,203",
94,8:00p,New Orleans Pelicans,94,Phoenix Suns,101,Box Score,,"13,154",
95,9:30p,Minnesota Timberwolves,113,Los Angeles Lakers,90,Box Score,,"18,997",
96,12:00a,San Antonio Spurs,120,New York Knicks,89,Box Score,,"19,812",
97,7:00p,Atlanta Hawks,103,Charlotte Bobcats,94,Box Score,,"13,996",
98,7:00p,Memphis Grizzlies,79,Indiana Pacers,95,Box Score,,"13,130",
99,7:00p,San Antonio Spurs,109,Philadelphia 76ers,85,Box Score,,"12,424",
100,7:30p,Orlando Magic,105,Boston Celtics,120,Box Score,,"18,624",
101,8:00p,Cleveland Cavaliers,81,Chicago Bulls,96,Box Score,,"21,778",
102,8:00p,Toronto Raptors,104,Houston Rockets,110,Box Score,2OT,"18,134",
103,9:00p,Denver Nuggets,100,Utah Jazz,81,Box Score,,"16,866",
104,10:00p,Detroit Pistons,103,Portland Trail Blazers,109,Box Score,,"18,834",
105,10:30p,Minnesota Timberwolves,107,Los Angeles Clippers,109,Box Score,,"19,060",
106,7:30p,Milwaukee Bucks,95,Miami Heat,118,Box Score,,"19,600",
107,8:30p,Washington Wizards,95,Dallas Mavericks,105,Box Score,,"19,627",
108,10:30p,Detroit Pistons,95,Golden State Warriors,113,Box Score,,"19,596",
109,10:30p,New Orleans Pelicans,95,Los Angeles Lakers,116,Box Score,,"18,426",
110,7:00p,Milwaukee Bucks,91,Orlando Magic,94,Box Score,,"13,588",
111,7:00p,Houston Rockets,117,Philadelphia 76ers,123,Box Score,OT,"11,671",
112,7:30p,Charlotte Bobcats,89,Boston Celtics,83,Box Score,,"17,032",
113,8:00p,New York Knicks,95,Atlanta Hawks,91,Box Score,,"15,057",
114,8:00p,Toronto Raptors,103,Memphis Grizzlies,87,Box Score,,"15,971",
115,8:00p,Cleveland Cavaliers,95,Minnesota Timberwolves,124,Box Score,,"14,978",
116,8:30p,Washington Wizards,79,San Antonio Spurs,92,Box Score,,"18,581",
117,9:00p,Los Angeles Lakers,99,Denver Nuggets,111,Box Score,,"17,824",
118,9:00p,New Orleans Pelicans,105,Utah Jazz,111,Box Score,,"16,717",
119,10:00p,Phoenix Suns,89,Portland Trail Blazers,90,Box Score,,"19,537",
120,10:00p,Brooklyn Nets,86,Sacramento Kings,107,Box Score,,"15,122",
121,10:30p,Oklahoma City Thunder,103,Los Angeles Clippers,111,Box Score,,"19,273",
122,8:00p,Houston Rockets,109,New York Knicks,106,Box Score,,"19,812",
123,10:30p,Oklahoma City Thunder,115,Golden State Warriors,116,Box Score,,"19,596",
124,7:00p,Milwaukee Bucks,77,Indiana Pacers,104,Box Score,,"16,202",
125,7:00p,Chicago Bulls,96,Toronto Raptors,80,Box Score,,"19,800",
126,7:30p,Philadelphia 76ers,103,Atlanta Hawks,113,Box Score,,"12,070",
127,7:30p,Portland Trail Blazers,109,Boston Celtics,96,Box Score,,"18,624",
128,7:30p,Charlotte Bobcats,86,Cleveland Cavaliers,80,Box Score,,"18,679",
129,7:30p,Dallas Mavericks,104,Miami Heat,110,Box Score,,"19,772",
130,8:00p,Minnesota Timberwolves,113,Denver Nuggets,117,Box Score,,"17,142",
131,9:00p,Brooklyn Nets,100,Phoenix Suns,98,Box Score,OT,"15,984",
132,9:00p,San Antonio Spurs,91,Utah Jazz,82,Box Score,,"17,530",
133,10:30p,Memphis Grizzlies,89,Los Angeles Lakers,86,Box Score,,"18,997",
134,10:30p,Detroit Pistons,97,Sacramento Kings,90,Box Score,,"17,317",
135,7:00p,Miami Heat,97,Charlotte Bobcats,81,Box Score,,"19,084",
136,7:00p,Dallas Mavericks,108,Orlando Magic,100,Box Score,,"15,039",
137,7:00p,Cleveland Cavaliers,103,Washington Wizards,96,Box Score,OT,"18,038",
138,7:30p,Atlanta Hawks,110,New York Knicks,90,Box Score,,"19,812",
139,8:00p,Indiana Pacers,94,Chicago Bulls,110,Box Score,,"22,158",
140,8:00p,Denver Nuggets,111,Houston Rockets,122,Box Score,,"18,147",
141,8:00p,Boston Celtics,88,Minnesota Timberwolves,106,Box Score,,"15,111",
142,8:00p,Philadelphia 76ers,98,New Orleans Pelicans,135,Box Score,,"16,659",
143,8:30p,Oklahoma City Thunder,92,Milwaukee Bucks,79,Box Score,,"15,984",
144,10:30p,Utah Jazz,88,Golden State Warriors,102,Box Score,,"19,596",
145,10:30p,Brooklyn Nets,103,Los Angeles Clippers,110,Box Score,,"19,349",
